name;url;average_product_count;latest_product_count;latest_timestamp_CEST
EiswÃ¼rfelmaschinen;https://www.medion.com/de/shop/kueche/eiswuerfelmaschinen;1,86;1;2026-09-09 20:38:43
FHD TVs;https://www.medion.com/at/shop/tv/fhd;17,0;17;2026-09-09 20:38:43
FHD TVs;https://www.medion.com/de/shop/tv/fhd;17,0;17;2026-09-09 20:38:43
Festival;https://www.medion.com/at/shop/festival;27,0;27;2026-09-09 20:38:43
Festival;https://www.medion.com/de/shop/festival;27,0;27;2026-09-09 20:38:43
Fire TVs;https://www.medion.com/at/shop/tv/fire-tv;161,0;0;2026-09-09 20:38:43
Fire TVs;https://www.medion.com/de/shop/tv/fire-tv;176,86;0;2026-09-09 20:38:43
Fitness & Gesundheit;https://www.medion.com/at/shop/koerperpflege-gesundheit;8,0;8;2026-09-09 20:38:43
Fitness & Gesundheit;https://www.medion.com/de/shop/koerperpflege-gesundheit;8,0;8;2026-09-09 20:38:43
Freiarm NÃ¤hmaschinen;https://www.medion.com/at/shop/haushalt/naehmaschinen/freiarm;4,0;4;2026-09-09 20:38:43
Freiarm NÃ¤hmaschinen;https://www.medion.com/de/shop/haushalt/naehmaschinen/freiarm;4,0;4;2026-09-09 20:38:43
FrÃ¼hjahrsputz;https://www.medion.com/at/shop/fruehjahrsputz;23,0;23;2026-09-09 20:38:43
FrÃ¼hjahrsputz;https://www.medion.com/de/shop/fruehjahrsputz;30,0;30;2026-09-09 20:38:43
FrÃ¼hstÃ¼ck;https://www.medion.com/at/shop/kuechengeraete-fruehstueck;11,0;11;2026-09-09 20:38:43
FrÃ¼hstÃ¼ck;https://www.medion.com/de/shop/kuechengeraete-fruehstueck;11,0;11;2026-09-09 20:38:43
Gaming Angebote;https://www.medion.com/at/shop/gaming/angebote;12,43;13;2026-09-09 20:38:43
Gaming Days;https://www.medion.com/at/shop/gaming-days;;;2026-09-09 20:38:43
Gaming Days;https://www.medion.com/de/shop/gaming-days;;;2026-09-09 20:38:43
