name	url	average_product_count	historical_min_product_count	historical_max_product_count	latest_product_count	latest_timestamp_CEST
Gaming-Zubehör	https://www.medion.com/de/shop/gaming/zubehoer	3,0	3	3	3	2026-09-15 14:51:20
Garantierte Lieferung	https://www.medion.com/at/shop/garantierte-lieferung	0,0	0	0	0	2026-09-15 14:51:20
Garten Angebote	https://www.medion.com/at/shop/garten-angebote	17,0	17	17	17	2026-09-15 14:51:20
Garten Angebote	https://www.medion.com/de/shop/garten-angebote	17,0	17	17	17	2026-09-15 14:51:20
Gefrierschränke	https://www.medion.com/at/shop/kueche/gefrierschraenke	6,0	6	6	6	2026-09-15 14:51:20
Gefrierschränke	https://www.medion.com/de/shop/kueche/gefrierschraenke	8,0	8	8	8	2026-09-15 14:51:20
Gefrierschränke: Klein/Mini - Listing	https://www.medion.com/de/shop/kueche/gefrierschraenke?pageSize=12&q=-sk-alle-gefrierschraenke%253ANutzinhalt%2520%28L%29%253B33&text=-sk-alle-gefrierschraenke&sort=FFClickCount-desc&followSearch=	2,0	2	2	2	2026-09-15 14:51:20
Geschenke ab 400 Euro	https://www.medion.com/at/shop/geschenke-ab-400-euro	47,93	45	50	45	2026-09-15 14:51:20
Geschenke ab 400 Euro	https://www.medion.com/de/shop/geschenke-ab-400-euro	60,27	57	63	57	2026-09-15 14:51:20
Geschenke bis 100 Euro	https://www.medion.com/de/shop/geschenke-bis-100-euro	158,63	154	161	155	2026-09-15 14:51:20
Geschenke bis 100in	https://www.medion.com/at/shop/geschenke-bis-100-euro	158,63	154	161	155	2026-09-15 14:51:20
Geschenke bis 250 Euro	https://www.medion.com/de/shop/geschenke-bis-250-euro	168,8	166	176	174	2026-09-15 14:51:20
Geschenke bis 250in	https://www.medion.com/at/shop/geschenke-bis-250-euro	156,8	154	164	162	2026-09-15 14:51:20
Geschenke bis 400 Euro	https://www.medion.com/at/shop/geschenke-bis-400-euro	62,51	61	66	63	2026-09-15 14:51:20
Geschenke bis 400 Euro	https://www.medion.com/de/shop/geschenke-bis-400-euro	87,17	86	91	88	2026-09-15 14:51:20
Geschirrspüler	https://www.medion.com/at/shop/geschirrspueler	2,0	2	2	2	2026-09-15 14:51:20
Geschirrspüler	https://www.medion.com/de/shop/kueche/geschirrspueler	9,0	9	9	9	2026-09-15 14:51:20
Geschirrspüler Neuheiten	https://www.medion.com/de/shop/neuheiten?pageSize=200&q=-sk-alle-neuheiten%253AcategoryPath%253BHaushalt%2520%2526%2520Freizeit%253AProduktart%253BGeschirrsp%25C3%25BCler&text=-sk-alle-neuheiten&sort=FFClickCount-desc&followSearch=	9,0	9	9	9	2026-09-15 14:51:20
Glättbürsten	https://www.medion.com/at/shop/haarpflege/glaettbuersten	2,0	2	2	2	2026-09-15 14:51:20
Glättbürsten	https://www.medion.com/de/shop/haarpflege/glaettbuersten	2,0	2	2	2	2026-09-15 14:51:20
Glätteisen	https://www.medion.com/at/shop/haarpflege/glaetteisen	4,0	4	4	4	2026-09-15 14:51:20
Glätteisen	https://www.medion.com/de/shop/haarpflege/glaetteisen	4,0	4	4	4	2026-09-15 14:51:20
Glätteisen LIFE HS1	https://www.medion.com/de/shop/glaetteisen-life-hs1	2,0	2	2	2	2026-09-15 14:51:20
Grills	https://www.medion.com/at/shop/kueche/grills	1,0	1	1	1	2026-09-15 14:51:20
Grills	https://www.medion.com/de/shop/kueche/grills	1,0	1	1	1	2026-09-15 14:51:20
HD TVs	https://www.medion.com/at/shop/tv/hd	4,83	4	5	5	2026-09-15 14:51:20
HD TVs	https://www.medion.com/de/shop/tv/hd	4,83	4	5	5	2026-09-15 14:51:20
Haarpflege	https://www.medion.com/at/shop/haarpflege	8,0	8	8	8	2026-09-15 14:51:20
Haarpflege	https://www.medion.com/de/shop/haarpflege	8,0	8	8	8	2026-09-15 14:51:20
Haartrockner	https://www.medion.com/at/shop/haarpflege/haartrockner	2,0	2	2	2	2026-09-15 14:51:20
Haartrockner	https://www.medion.com/de/shop/haarpflege/haartrockner	2,0	2	2	2	2026-09-15 14:51:20
Haartrockner LIFE HD2	https://www.medion.com/de/shop/haartrockner-life-hd2	2,0	2	2	2	2026-09-15 14:51:20
Handstaubsauger	https://www.medion.com/at/shop/handstaubsauger	5,0	5	5	5	2026-09-15 14:51:20
Handstaubsauger	https://www.medion.com/de/shop/handstaubsauger	5,0	5	5	5	2026-09-15 14:51:20
Haushalt- & Freizeit-Angebote	https://www.medion.com/at/shop/haushalt/angebote	23,59	17	26	17	2026-09-15 14:51:20
